['# KSL']	['ID', 'DOCULECT', 'CONCEPT', 'GlossID', 'Orthography', 'IPA', 'Tokens', 'CogID']
165	OH	44_judge	54	birō	biroː	b i r oː	OH-44_judge-1
166	EAH	44_judge	54	biruγ	biruɣ	b i r u ɣ	EAH-44_judge-1
167	WOT	44_judge	54	bïrug	bɯruɡ	b ɯ r u ɡ	WOT-44_judge-1
#
168	H	45_tobeforgiven	55	bocsán	bot͡ʃaːn	b o t͡ʃ aː n	H-45_tobeforgiven-1
#
169	OH	45_tobeforgiven	55	bočan	bot͡ʃan	b o t͡ʃ a n	OH-45_tobeforgiven-1
170	EAH	45_tobeforgiven	55	bolčan	bolt͡ʃan	b o l t͡ʃ a n	EAH-45_tobeforgiven-1
171	WOT	45_tobeforgiven	55	bolčan	bolt͡ʃan	b o l t͡ʃ a n	WOT-45_tobeforgiven-1
#
172	H	46_toforgive	56	bocsát	bot͡ʃaːt	b o t͡ʃ aː t	H-46_toforgive-1
#
173	OH	46_toforgive	56	bulšat	bulʃat	b u l ʃ a t	OH-46_toforgive-1
174	EAH	46_toforgive	56	bulčat	bult͡ʃat	b u l t͡ʃ a t	EAH-46_toforgive-1
175	WOT	46_toforgive	56	bolčat	bolt͡ʃat	b o l t͡ʃ a t	WOT-46_toforgive-1
#
176	H	47_bucklerwithhandlehandleofdifferentarms	57	bóda	boːdɒ	b oː d ɒ	H-47_bucklerwithhandlehandleofdifferentarms-1
#
177	OH	47_bucklerwithhandlehandleofdifferentarms	57	boldå	boldɒ	b o l d ɒ	OH-47_bucklerwithhandlehandleofdifferentarms-1
178	EAH	47_bucklerwithhandlehandleofdifferentarms	57	baldaw	baldaw	b a l d a w	EAH-47_bucklerwithhandlehandleofdifferentarms-1
#
179	H	48_knotbend	58	bog	boɡ	b o ɡ	H-48_knotbend-1
#
180	EAH	48_knotbend	58	bog	boɡ	b o ɡ	EAH-48_knotbend-1
181	WOT	48_knotbend	58	bog	boɡ	b o ɡ	WOT-48_knotbend-1
#
182	H	49_stackofhay	59	boglya	boɡjɒ	b o ɡ j ɒ	H-49_stackofhay-1
#
183	OH	49_stackofhay	59	boglʹå	boɡjɒ	b o ɡ j ɒ	OH-49_stackofhay-1
184	LAH	49_stackofhay	59	bogulʹa	boɡuja	b o ɡ u j a	LAH-49_stackofhay-1
185	EAH	49_stackofhay	59	bogul	boɡul	b o ɡ u l	EAH-49_stackofhay-1
186	WOT	49_stackofhay	59	bogul	boɡul	b o ɡ u l	WOT-49_stackofhay-1
#
187	H	50_tasselfringetuftnode	60	bojt	bojt	b o j t	H-50_tasselfringetuftnode-1
#
188	OH	50_tasselfringetuftnode	60	buyt	bujt	b u j t	OH-50_tasselfringetuftnode-1
189	LAH	50_tasselfringetuftnode	60	buγt	buɣt	b u ɣ t	LAH-50_tasselfringetuftnode-1
190	EAH	50_tasselfringetuftnode	60	buγut	buɣut	b u ɣ u t	EAH-50_tasselfringetuftnode-1
191	WOT	50_tasselfringetuftnode	60	bogut	boɡut	b o ɡ u t	WOT-50_tasselfringetuftnode-1
#
192	H	51_burdockarctiumsp	61	bojtorján	bojtorjaːn	b o j t o r j aː n	H-51_burdockarctiumsp-1
#
193	EAH	51_burdockarctiumsp	61	balturγan	balturɣan	b a l t u r ɣ a n	EAH-51_burdockarctiumsp-1
194	WOT	51_burdockarctiumsp	61	balturgan	balturɡan	b a l t u r ɡ a n	WOT-51_burdockarctiumsp-1
#
195	H	52_ankle	62	boka	bokɒ	b o k ɒ	H-52_ankle-1
#
196	EAH	52_ankle	62	baka	baka	b a k a	EAH-52_ankle-1
197	WOT	52_ankle	62	baka	baka	b a k a	WOT-52_ankle-1
#
198	H	53_ankleboot	63	bakan	bɒkɒn	b ɒ k ɒ n	H-53_ankleboot-1
#
199	EAH	53_ankleboot	63	bokå	bokɒ	b o k ɒ	EAH-53_ankleboot-1
200	WOT	53_ankleboot	63	baka	baka	b a k a	WOT-53_ankleboot-1
#
201	H	53_ankleboot	64	bakan	bɒkɒn	b ɒ k ɒ n	H-53_ankleboot-2
#
202	EAH	53_ankleboot	64	båkå	bɒkɒ	b ɒ k ɒ	EAH-53_ankleboot-2
203	WOT	53_ankleboot	64	baka	baka	b a k a	WOT-53_ankleboot-2
#
204	H	54_anthill	65	boly	boj	b o j	H-54_anthill-1
#
205	OH	54_anthill	65	bolʹ	boj	b o j	OH-54_anthill-1
206	EAH	54_anthill	65	boγol	boɣol	b o ɣ o l	EAH-54_anthill-1
207	WOT	54_anthill	65	boγul	boɣul	b o ɣ u l	WOT-54_anthill-1
#
208	H	55_wine	66	bor	bor	b o r	H-55_wine-1
#
209	EAH	55_wine	66	bor	bor	b o r	EAH-55_wine-1
210	WOT	55_wine	66	bor	bor	b o r	WOT-55_wine-1
#
211	H	56_tocovertooverturn	67	bor	bor	b o r	H-56_tocovertooverturn-1
#
212	EAH	56_tocovertooverturn	67	bor	bor	b o r	EAH-56_tocovertooverturn-1
213	WOT	56_tocovertooverturn	67	bur	bur	b u r	WOT-56_tocovertooverturn-1
#
214	H	57_cover	68	bur	bur	b u r	H-57_cover-1
#
215	EAH	57_cover	68	bur	bur	b u r	EAH-57_cover-1
216	WOT	57_cover	68	bur	bur	b u r	WOT-57_cover-1
#
217	H	58_calf	69	borjú	borjuː	b o r j uː	H-58_calf-1
#
218	OH	58_calf	69	burγu	burɣu	b u r ɣ u	OH-58_calf-1
219	EAH	58_calf	69	buraγu	buraɣu	b u r a ɣ u	EAH-58_calf-1
220	WOT	58_calf	69	buraγu	buraɣu	b u r a ɣ u	WOT-58_calf-1
#
221	H	59_pepper	70	bors	borʃ	b o r ʃ	H-59_pepper-1
#
222	EAH	59_pepper	70	burč	burt͡ʃ	b u r t͡ʃ	EAH-59_pepper-1
223	WOT	59_pepper	70	burč	burt͡ʃ	b u r t͡ʃ	WOT-59_pepper-1
#
224	H	60_peapisumsativumbean	71	borsó	borʃoː	b o r ʃ oː	H-60_peapisumsativumbean-1
#
225	OH	60_peapisumsativumbean	71	buršau̯	burʃaw	b u r ʃ a w	OH-60_peapisumsativumbean-1
226	EAH	60_peapisumsativumbean	71	burčaγ	burt͡ʃaɣ	b u r t͡ʃ a ɣ	EAH-60_peapisumsativumbean-1
227	WOT	60_peapisumsativumbean	71	burčaγ	burt͡ʃaɣ	b u r t͡ʃ a ɣ	WOT-60_peapisumsativumbean-1
#
228	H	61_badgermelesmeles	72	borz	borz	b o r z	H-61_badgermelesmeles-1
#
229	EAH	61_badgermelesmeles	72	borsi	borsi	b o r s i	EAH-61_badgermelesmeles-1
230	WOT	61_badgermelesmeles	72	borsï	borsɯ	b o r s ɯ	WOT-61_badgermelesmeles-1
#
231	H	62_witchsorceress	73	boszorkány	bosorkaːɲ	b o s o r k aː ɲ	H-62_witchsorceress-1
#
232	EAH	62_witchsorceress	73	basarkan	basarkan	b a s a r k a n	EAH-62_witchsorceress-1
233	WOT	62_witchsorceress	73	basarkan	basarkan	b a s a r k a n	WOT-62_witchsorceress-1
#
234	H	63_toannoy	74	bosszan	bosːɒn	b o sː ɒ n	H-63_toannoy-1
#
235	EAH	63_toannoy	74	busan	busan	b u s a n	EAH-63_toannoy-1
236	WOT	63_toannoy	74	busan	busan	b u s a n	WOT-63_toannoy-1
#
237	H	64_revenge	75	bosszú	bosːuː	b o sː uː	H-64_revenge-1
#
238	OH	64_revenge	75	bossou̯	bosːow	b o sː o w	OH-64_revenge-1
239	EAH	64_revenge	75	bosuγ	bosuɣ	b o s u ɣ	EAH-64_revenge-1
240	WOT	64_revenge	75	bosuγ	bosuɣ	b o s u ɣ	WOT-64_revenge-1
#
241	H	65_stickcane	76	bot	bot	b o t	H-65_stickcane-1
#
242	OH	65_stickcane	76	buti	buti	b u t i	OH-65_stickcane-1
243	LAH	65_stickcane	76	butī	butiː	b u t iː	LAH-65_stickcane-1
244	EAH	65_stickcane	76	butiγ	butiɣ	b u t i ɣ	EAH-65_stickcane-1
245	WOT	65_stickcane	76	butїγ	butɯɣ	b u t ɯ ɣ	WOT-65_stickcane-1
#
246	H	65_stickcane	77	bot	bot	b o t	H-65_stickcane-2
#
