ID	DOCULECT	ALIGNMENT	COGID	CV_SEGMENTS
474	H	#k ø d.m ø n# -#	306	CVCCVC
475	EAH	k ɛ d.m ɛ n -	306	CVCCVC
476	H	#k ø d.m ɛ n# -#	307	CVCCVC
477	EAH	k ɛ d.m ɛ n -	307	CVCCVC
478	H	#k ø k eː ɲ# -#	308	CVCVC
479	EAH	k ø k ɛ n -	308	CVCVC
480	H	#k ø l.t͡ʃ ø n# -#	309	CVCCVC
481	EAH	k y l.t͡ʃ ɛ n -	309	CVCCVC
482	H	#k ø l.d ø k# -#	310	CVCCVC
483	EAH	k i n.d i k -	310	CVCCVC
484	H	#k ø j ø k# -#	311	CVCVC
485	EAH	k y l ɛ k -	311	CVCVC
486	H	#k ø j yː#	312	CVCV
487	EAH	k ɛ l i.ɣ	312	CVCVC
488	H	#k ø m øː d ø r ø ɡ# -#	313	CVCVCVCVC
489	EAH	k ø m ø n.d ø r ø k -	313	CVCVCCVCVC
490	H	#k ɛ n.t.r ɛ ɡ#	314	CVCCCVC
491	EAH	k ø m.ø.n.d.ø.r ø k	314	CVCVCCVCVC
492	H	#k ø ɲ.v#	315	CVCC
493	EAH	k y ɲ.y.ɣ	315	CVCVC
494	H	#k ø p.t͡s ø	317	CVCCVC
495	EAH	k ø p.t͡ʃ ɛ.ɣ	317	CVCCVC
496	H	#k ø p ɛ t͡s# -#	318	CVCVC
497	EAH	k ø p ɛ k -	318	CVCVC
498	H	#k ø p ø ɲ ɛ k# -#	319	CVCVCVC
499	EAH	k ɛ p ɛ n ɛ k -	319	CVCVCVC
500	H	#k ø p yː# -#	320	CVCV
501	EAH	k y p y ɣ	320	CVCVC
502	H	#k øː r i ʃ# -#	321	CVCVC
503	EAH	k ɛ w.r i t͡ʃ -	321	CVCCVC
504	H	#k øː r øː#	322	CVCV
505	EAH	k ɛ.w r ɛ.ɣ	322	CVCCVC
506	H	#k ø r.t.v eː j# -#	323	CVCCCVC
507	EAH	k ɛ r.t.β ɛ l i	323	CVCCCVCV
508	H	#k ø s ø n# -#	325	CVCVC
509	EAH	k y s ɛ n -	325	CVCVC
510	H	#k u n# -#	326	CVC
511	EAH	k u.w.a n -	326	CVCVC
512	H	#k u v ɒ s# -#	327	CVCVC
513	EAH	k u w a z -	327	CVCVC
514	H	#k y lː øː#	328	CVCV
515	EAH	k y lː ɛ.ɣ	328	CVCVC
516	H	#m oː n aː r	331	CVCVC
517	EAH	m u n a r	331	CVCVC
518	H	#ɲ ø ɡ eː r# -#	332	CVCVC
519	EAH	n ø ɡ ɛ r -	332	CVCVC
520	H	#o t͡ʃ uː#	333	VCV
521	EAH	u t͡ʃ o.ɣ	333	VCVC
522	H	#o k# -#	334	VC
523	EAH	u k -	334	VC
524	H	#oː l#	336	VC
525	EAH	a.ɣ.u l	336	VCVC
526	H	#o l.t͡ʃ oː#	337	VCCV
527	EAH	u t͡ʃ a.ɣ	337	VCVC
528	H	#o lː oː#	338	VCV
529	EAH	o ɣ.l a.ɣ	338	VCCVC
530	H	#o n.d oː#	339	VCCV
531	EAH	u n.d a.ɣ	339	VCCVC
532	H	#o r o s# -#	342	VCVC
533	EAH	u r u s -	342	VCVC
