"Rona-Tas-2011-500-1"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-255"	254	"measles"	3389	"MEASLES"
"Rona-Tas-2011-500-256"	255	"trap, snare"	1075	"TRAP (PITFALL)"
"Rona-Tas-2011-500-257"	256	"gate"	2940	"GATE"
"Rona-Tas-2011-500-258"	257	"arm"	1673	"ARM"
"Rona-Tas-2011-500-259"	258	"damage, loss"	2947	"DAMAGE (INJURY)"
"Rona-Tas-2011-500-260"	259	"man of grit, stout fellow"	4013	"MAN OF GRIT"
"Rona-Tas-2011-500-261"	260	"sheepfold, cattlegrid, stockyard, a yard encircled by a fence, shedfor animals"	3402	"SHEEPFOLD"
"Rona-Tas-2011-500-262"	261	"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ"	3446	"PINK"
"Rona-Tas-2011-500-263"	262	"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ"	3446	"PINK"
"Rona-Tas-2011-500-264"	263	"stake, pale, stick"	1295	"STICK"
"Rona-Tas-2011-500-265"	264	"a fishing water bird with black feathers, cormorant,Phalacrocorax carbo"	840	"CORMORANT"
"Rona-Tas-2011-500-266"	265	"sparrow hawk, Accipiter n. nisus"	307	"HAWK"
"Rona-Tas-2011-500-267"	266	"chicory, Cichorium sp., Cichorium intybus"	4014	"CHICORY"
"Rona-Tas-2011-500-268"	267	"an ethnic name, Kazar"	1405	"NAME"
"Rona-Tas-2011-500-269"	268	"bosom, breast"	1402	"BREAST"
"Rona-Tas-2011-500-270"	269	"goat, Capra hircus"	1502	"GOAT"
"Rona-Tas-2011-500-271"	270	"blue"	837	"BLUE"
"Rona-Tas-2011-500-272"	271	"trousseau, dowry, gift given with the bride or bridegroom"	3168	"DOWRY"
"Rona-Tas-2011-500-273"	272	"hemp, Cannabis"	2041	"HEMP"
"Rona-Tas-2011-500-274"	273	"mercury"	4015	"MERCURY"
"Rona-Tas-2011-500-275"	274	"picture, shape, form"	2401	"PICTURE"
