"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-190"	190	"small, little"	1246	"SMALL"
"Rona-Tas-2011-500-191"	191	"small"	1246	"SMALL"
"Rona-Tas-2011-500-192"	192	"small, little"	1246	"SMALL"
"Rona-Tas-2011-500-193"	193	"felt"	325	"FELT"
"Rona-Tas-2011-500-194"	194	"wild/meadow saffron, Colchicum autumnale; lions tooth, Taraxacum"	2230	"UNTAMED OR WILD"
"Rona-Tas-2011-500-195"	195	"pain"	1783	"PAIN"
"Rona-Tas-2011-500-196"	196	"gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat"	1256	"HEAD"
"Rona-Tas-2011-500-197"	197	"lute, cittern"	2681	"LUTE"
"Rona-Tas-2011-500-198"	198	"to beg, to mendicate"	3534	"BEG"
"Rona-Tas-2011-500-199"	199	"beggar"	1934	"BEGGAR"
"Rona-Tas-2011-500-200"	200	"beggar"	1934	"BEGGAR"
"Rona-Tas-2011-500-201"	201	"hops, Humulus lupulus"	3316	"HOPS"
"Rona-Tas-2011-500-202"	202	"gloomy, grave, morose, sombre, dull-coloured; not properly castrated"	1773	"GRAVE"
"Rona-Tas-2011-500-203"	203	"coffin"	2011	"COFFIN"
"Rona-Tas-2011-500-204"	204	"age, period"	1789	"AGE"
"Rona-Tas-2011-500-205"	205	"tomb, small hill, elevated, dry place in a marsh"	1773	"GRAVE"
"Rona-Tas-2011-500-206"	206	"soot"	830	"SOOT"
"Rona-Tas-2011-500-207"	207	"ram"	1344	"RAM"
"Rona-Tas-2011-500-208"	208	"burn"	2102	"BURN"
"Rona-Tas-2011-500-209"	209	"the navel; various parts of agricultural and other instruments,around which something turns or rotates or which is in the centre"	1838	"NAVEL"
"Rona-Tas-2011-500-210"	210	"young of an animal, kid, puppy, lad"	1972	"KID"
"Rona-Tas-2011-500-211"	211	"pounder, beater, small mortar"	2459	"GRINDSTONE"
"Rona-Tas-2011-500-212"	212	"book"	963	"BOOK"
"Rona-Tas-2011-500-213"	213	"book"	963	"BOOK"
"Rona-Tas-2011-500-214"	214	"stumpy, a small, thick man"	1246	"SMALL"
"Rona-Tas-2011-500-215"	215	"cloak, gown, overcoat"	326	"CLOAK"
"Rona-Tas-2011-500-216"	216	"churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)"	88	"BEEHIVE"
"Rona-Tas-2011-500-217"	217	"mellow, powdery, crumbly, rotten, mouldy"	1728	"ROTTEN"
"Rona-Tas-2011-500-218"	218	"pear, Pyrus communis"	922	"PEAR"
"Rona-Tas-2011-500-219"	219	"pear, Pyrus communis"	922	"PEAR"
"Rona-Tas-2011-500-220"	220	"to greet, to thank"	3552	"GREET"
"Rona-Tas-2011-500-221"	221	"dry summer fog, rainbow"	1733	"RAINBOW"
"Rona-Tas-2011-500-222"	222	"chaff, husks, winnowings, tailings, refuse of grain"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-223"	223	"cause, reason"	860	"CAUSE"
"Rona-Tas-2011-500-224"	224	"to teach"	709	"TEACH"
"Rona-Tas-2011-500-225"	225	"cheap"	1887	"CHEAP"
"Rona-Tas-2011-500-226"	226	"kid (of a goat)"	1972	"KID"
"Rona-Tas-2011-500-227"	227	"sperm, seminal fluid"	1505	"SPERM"
"Rona-Tas-2011-500-228"	228	"lion"	1386	"LION"
"Rona-Tas-2011-500-229"	229	"spindle, whorl"	277	"SPINDLE"
"Rona-Tas-2011-500-230"	230	"thief"	1160	"THIEF"
"Rona-Tas-2011-500-231"	231	"physician"	597	"PHYSICIAN"
"Rona-Tas-2011-500-232"	232	"ox"	1169	"OX"
"Rona-Tas-2011-500-233"	233	"hawk, buzzard, Buteo buteo"	307	"HAWK"
