ID,Target_Form_ID,Source_Form_ID,Comment,Source
228-122_measlesmallpoxpocksskineruptiondecorativeembroidery,EAH-122_measlesmallpoxpocksskineruptiondecorativeembroidery-2,WOT-122_measlesmallpoxpocksskineruptiondecorativeembroidery-2,,wot
229-123_tobindsomething,EAH-123_tobindsomething-1,EAH-123_tobindsomething-1,,wot
230-123_tobindsomething,EAH-123_tobindsomething-1,WOT-123_tobindsomething-1,,wot
231-127_impuritiestowchaff,EAH-127_impuritiestowchaff-1,EAH-127_impuritiestowchaff-1,,wot
232-127_impuritiestowchaff,EAH-127_impuritiestowchaff-1,WOT-127_impuritiestowchaff-1,,wot
233-127_impuritiestowchaff,EAH-127_impuritiestowchaff-2,EAH-127_impuritiestowchaff-2,,wot
234-127_impuritiestowchaff,EAH-127_impuritiestowchaff-2,WOT-127_impuritiestowchaff-2,,wot
235-127_impuritiestowchaff,EAH-127_impuritiestowchaff-3,EAH-127_impuritiestowchaff-3,,wot
236-127_impuritiestowchaff,EAH-127_impuritiestowchaff-3,WOT-127_impuritiestowchaff-3,,wot
237-127_impuritiestowchaff,EAH-127_impuritiestowchaff-4,EAH-127_impuritiestowchaff-4,,wot
238-127_impuritiestowchaff,EAH-127_impuritiestowchaff-4,WOT-127_impuritiestowchaff-4,,wot
239-128_snailhelixsnailshellpulleyvertebra,EAH-128_snailhelixsnailshellpulleyvertebra-1,EAH-128_snailhelixsnailshellpulleyvertebra-1,,wot
240-128_snailhelixsnailshellpulleyvertebra,EAH-128_snailhelixsnailshellpulleyvertebra-1,WOT-128_snailhelixsnailshellpulleyvertebra-1,,wot
241-130_awineoflowqualityafruitwine,EAH-130_awineoflowqualityafruitwine-1,EAH-130_awineoflowqualityafruitwine-1,,wot
242-130_awineoflowqualityafruitwine,EAH-130_awineoflowqualityafruitwine-1,WOT-130_awineoflowqualityafruitwine-1,,wot
243-130_awineoflowqualityafruitwine,EAH-130_awineoflowqualityafruitwine-2,EAH-130_awineoflowqualityafruitwine-2,,wot
244-130_awineoflowqualityafruitwine,EAH-130_awineoflowqualityafruitwine-2,WOT-130_awineoflowqualityafruitwine-2,,wot
245-131_secretionmucusdischargedfromtheeyes,EAH-131_secretionmucusdischargedfromtheeyes-1,EAH-131_secretionmucusdischargedfromtheeyes-1,,wot
246-131_secretionmucusdischargedfromtheeyes,EAH-131_secretionmucusdischargedfromtheeyes-1,WOT-131_secretionmucusdischargedfromtheeyes-1,,wot
247-132_squinteyedblindinoneeyeonearmedonelegged,EAH-132_squinteyedblindinoneeyeonearmedonelegged-1,EAH-132_squinteyedblindinoneeyeonearmedonelegged-1,,wot
248-132_squinteyedblindinoneeyeonearmedonelegged,EAH-132_squinteyedblindinoneeyeonearmedonelegged-1,WOT-132_squinteyedblindinoneeyeonearmedonelegged-1,,wot
