ID,Name,Concepticon_ID,Concepticon_Gloss
279_cheap,cheap,1887,CHEAP
280_kidofagoat,kid (of a goat),1972,YOUNG GOAT (KID)
281_spermseminalfluid,"sperm, seminal fluid",1505,SPERM
282_crumbofbreadmorselasmallpieceofbread,"crumb (of bread), morsel, a small piece of bread",,
283_russian,Russian,,
284_lion,lion,1386,LION
285_spindlewhorl,"spindle, whorl",277,SPINDLE
286_thief,thief,1160,THIEF
287_physician,physician,597,PHYSICIAN
288_cuneinplayinostabla,cune in play in ostábla,,
289_ox,ox,1169,OX
290_tostitchtoputonadress,"to stitch, to put on a dress",,
291_hawkbuzzardbuteobuteo,"hawk, buzzard, Buteo buteo",307,HAWK
292_totakeroottogrowstrongerplantanimal,"to take root, to grow stronger (plant, animal)",,
293_togrindmill,"to grind, mill",1033,GRIND
294_millingproduct,milling product,,
295_armenian,Armenian,,
296_eternal,eternal,,
297_torejoicetobeglad,"to rejoice, to be glad",2192,REJOICE
298_tobecomemad,to become mad,,
299_whirlpooleddy,"whirlpool, eddy",1982,WHIRLPOOL
300_flooddelugestream,"flood, deluge, stream",947,STREAM
301_cheese,cheese,1569,CHEESE
302_mudmarsh,"mud, marsh",640,MUD
303_yellow,yellow,1424,YELLOW
304_dragon,dragon,2038,DRAGON
305_sickle,sickle,341,SICKLE
306_atypeofwildonionornithogalum,"a type of wild onion, Ornithogalum",,
307_footwearsandals,"footwear, sandals",,
308_tent,tent,1316,TENT
309_fastquick,"fast, quick",1631,FAST
310_tosweeptobroom,"to sweep, to broom",230,SWEEP
311_broom,broom,245,BROOM
312_draffleesdregsofwine,"draff, lees, dregs of wine",,
313_toinjuretohurt,"to injure, to hurt",44,INJURE
314_armytroopscrowd,"army, troops, crowd",1561,ARMY
315_anit,a nit,267,NIT
316_cupgoblet,"cup, goblet",476,CUP
317_bristlesalsoshortsheavesusedtostrengthenathatchedroof,"bristles, also short sheaves used to strengthen a thatched roof",,
318_evenflatopenwater,"even, flat, open (water)",1633,FLAT
319_smoothsimit,"smooth, simít",1234,SMOOTH
320_runningwaterrunningchannelunderamill,"running water, running channel under a mill",,
321_springwellbrook,"spring, well, brook",1537,SPRINGTIME
322_muchmany,"much, many",1198,MANY
323_falcon,falcon,3258,FALCON
324_dogwoodtreecornelcornus,"dogwood (tree), cornel, Cornus",,
325_beer,beer,1639,BEER
326_sterletsturgeonacipenserstellatusruthenus,"sterlet, sturgeon, Acipenser stellatus, ruthenus",3606,STURGEON
327_pikeperchzanderstizostedionlucioperca,"pike perch, zander, Stizostedion lucioperca",,
328_scurvy,scurvy,,
329_densethickofwoodsorsoup,"dense, thick (of woods or soup)",2239,DENSE
330_brotherinlaw,brother-in-law,2314,BROTHER-IN-LAW
331_mirage,mirage,,
332_uvulatherecurvedpointofafishinghookoralanceredwattleonachicken,"uvula, the recurved point of a fishing hook or a lance, red wattle on a chicken",2293,UVULA
333_beard,beard,678,BEARD
334_raft,raft,1664,RAFT
335_number,number,1356,NUMBER
336_tohavepityfortoregret,"to have pity for, to regret",1875,REGRET
337_towishtointendsomethingforsomebodysomethingtodevote,"to wish, to intend something for somebody/something, to devote",2117,DESIRE
338_trousseaubox,trousseau box,,
339_bucketwoodenpailwithahandle,"bucket, wooden pail (with a handle)",2052,BUCKET
340_lightcolouredyellowishpalepartlybald,"light-coloured, yellowish, pale, (partly) bald",1125,BALD
341_wing,wing,1257,WING
342_grocergrandhandler,"grocer, grand handler",,
343_chairseatbenchthrone,"chair, seat, bench, throne",1476,CHAIR
344_wind,wind,960,WIND
345_toslumbertodoze,"to slumber, to doze",,
346_beautiful,beautiful,1427,BEAUTIFUL
347_frecklesunspotstain,"freckle, sun spot, stain",530,FRECKLE
348_partofavillagestreetgroupofpeoplerowlineorder,"part of a village, street, group of people; row, line, order",1362,STREET
349_threshingfloorround,threshing floor (round),,
350_fumesvapourspiritsalcoholhumours,"fumes, vapour, spirits, alcohol, humours",,
351_colourfaceexternalappearancethebestpartofsomethingtheupperpartofsomething,"colour, face, external appearance, the best part of something, the upperpart of something",,
352_thinhideropestrapusedforembroideryorasawhiprefrozenthinlayerafterthemeltingofsnow,"thin hide rope, strap (used for embroidery or as a whip), refrozen thin layer after the melting of snow",2973,STRAP
353_rockcliffocciputcrestofmountain,"rock, cliff, occiput, crest (of mountain)",,
354_word,word,1599,WORD
355_akindoffalconpielfalcusgyrfalco,"a kind of falcon, Pielfalcus, Gyrfalco",,
356_tospreadtoscattertowinnow,"to spread, to scatter, to winnow",3705,SCATTER
357_grasshopper,grasshopper,607,GRASSHOPPER
358_toleaptojumptoescapetoflee,"to leap, to jump, to escape, to flee",1829,JUMP
359_grapewinegrapevitisvinifer,"grape, wine grape, Vitis vinifer",920,GRAPE
360_mosquitognatculexpipens,"mosquito, gnat, Culex pipens",1509,MOSQUITO
361_furrier,furrier,,
362_toceasetostop,"to cease, to stop",1928,CEASE
363_tostraintofilter,"to strain, to filter",940,STRAIN
364_virginpure,"virgin, pure",1147,PURE
365_sorcerermedicineman,"sorcerer, medicine man",823,SORCERER
366_advicecouncil,advice; council,,
367_witness,witness,1144,WITNESS
368_tofeedtonourish,"to feed, to nourish",739,FEED
369_tindertinderfungusfomesfomentarius,"tinder, tinder fungus, Fomes fomentarius",,
370_bald,bald,1125,BALD
371_depot,depot,,
372_ploughfieldarablefieldstubblefield,"plough field, arable field, stubble field",,
373_toholdcarrytolastvisszatart,"to hold, carry; to last, visszatart",1448,HOLD
374_tatar,Tatar,,
375_nameofseveralkindsofplantseganemosphorosbuniasorientalisnapuscrambetataricastormwind,"name of several kinds of plants, e.g. Anemosphoros, Buniasorientalis, Napus, Crambe tatarica; storm wind",,
376_towindsomethingroundtotwist,"to wind something round, to twist",430,TWIST
377_troughwashtubhutch,"trough, wash tub, hutch",205,TROUGH
378_straponawhiporonakindofsandal,"strap (on a whip, or on a kind of sandal)",2973,STRAP
379_apieceoflandfieldparcelpatchahigherplacewhereanimalsrestandaccumulatedung,"a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung",212,FIELD
380_tovegetatetolingerinmisery,"to vegetate, to linger in misery",,
381_axle,axle,1769,AXLE
382_sea,sea,1474,SEA
383_toturntochangetheoriginaldirection,"to turn, to change the original direction",1588,TURN
384_knee,knee,1371,KNEE
