ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CV_Segments,ProsodicStructure,FB_Vowel_Harmony,Year
WOT-33_hobbleshacklelegiron-2,,WOT,33_hobbleshacklelegiron,bïkaγu,bïkaγu,b ɯ k a ɣ u,,wot,41,true,^ bïkaγu $,WOT,b ɯ k a ɣ u,CVCVCV,True,1395
H-34_stampbondmark-1,,H,34_stampbondmark,bélyeg,bélyeg,b eː j ɛ ɡ,,wot,42,true,^ bélyeg $,H,b eː j ɛ ɡ,CVCVC,True,1263
OH-34_stampbondmark-1,,OH,34_stampbondmark,bēlʹeg,bēlʹeg,b eː j ɛ ɡ,,wot,42,true,^ bēlʹeg $,OH,b eː j ɛ ɡ,CVCVC,True,1263
EAH-34_stampbondmark-1,,EAH,34_stampbondmark,beleg,beleg,b ɛ l ɛ ɡ,,wot,42,true,^ beleg $,EAH,b ɛ l ɛ ɡ,CVCVC,True,1263
WOT-34_stampbondmark-1,,WOT,34_stampbondmark,bäläg,bäläg,b ɛ l ɛ ɡ,,wot,42,true,^ bäläg $,WOT,b ɛ l ɛ ɡ,CVCVC,True,1263
H-35_wagerent-1,,H,35_wagerent,bér,bér,b eː r,,wot,43,true,^ bér $,H,b eː r,CVC,True,1121
EAH-35_wagerent-1,,EAH,35_wagerent,bērü,bērü,b eː r y,,wot,43,true,^ bērü $,EAH,b eː r y,CVCV,True,1121
WOT-35_wagerent-1,,WOT,35_wagerent,berü,berü,b ɛ r y,,wot,43,true,^ berü $,WOT,b ɛ r y,CVCV,True,1121
H-36_nameofapeople-1,,H,36_nameofapeople,bercel,bercel,b ɛ r t͡s ɛ l,,wot,44,true,^ bercel $,H,b ɛ r.t͡s ɛ l,CVCCVC,True,1238
OH-36_nameofapeople-1,,OH,36_nameofapeople,bercel,bercel,b ɛ r t͡s ɛ l,,wot,44,true,^ bercel $,OH,b ɛ r.t͡s ɛ l,CVCCVC,True,1238
EAH-36_nameofapeople-1,,EAH,36_nameofapeople,bersil,bersil,b ɛ r s i l,,wot,44,true,^ bersil $,EAH,b ɛ r.s i l,CVCCVC,True,1238
WOT-36_nameofapeople-1,,WOT,36_nameofapeople,Bärsil,Bärsil,b ɛ r s i l,,wot,44,false,^ Bärsil $,WOT,b ɛ r.s i l,CVCCVC,True,1238
H-37_grainorsmallglobuleofpreciousmetal-1,,H,37_grainorsmallglobuleofpreciousmetal,bertű,bertű,b ɛ r t yː,,wot,45,true,^ bertű $,H,b ɛ r.t yː,CVCCV,True,1560
OH-37_grainorsmallglobuleofpreciousmetal-1,,OH,37_grainorsmallglobuleofpreciousmetal,börtǖ,börtǖ,b ø r t yː,,wot,45,true,^ börtǖ $,OH,b ø r.t yː,CVCCV,True,1560
LAH-37_grainorsmallglobuleofpreciousmetal-1,,LAH,37_grainorsmallglobuleofpreciousmetal,börteü̯,börteü̯,b ø r t ɛ w,,wot,45,true,^ börteü̯ $,LAH,b ø r.t ɛ w,CVCCVC,True,1560
EAH-37_grainorsmallglobuleofpreciousmetal-1,,EAH,37_grainorsmallglobuleofpreciousmetal,bürtiγ,bürtiγ,b y r t i ɣ,,wot,45,true,^ bürtiγ $,EAH,b y r.t i ɣ,CVCCVC,True,1560
WOT-37_grainorsmallglobuleofpreciousmetal-1,,WOT,37_grainorsmallglobuleofpreciousmetal,bürtiγ,bürtiγ,b y r t i ɣ,,wot,45,true,^ bürtiγ $,WOT,b y r.t i ɣ,CVCCVC,True,1560
H-38_abirdofprey-1,,H,38_abirdofprey,bese,bese,b ɛ ʃ ɛ,,wot,46,true,^ bese $,H,b ɛ ʃ ɛ,CVCV,True,1130
EAH-38_abirdofprey-1,,EAH,38_abirdofprey,beše,beše,b ɛ ʃ ɛ,,wot,46,true,^ beše $,EAH,b ɛ ʃ ɛ,CVCV,True,1130
WOT-38_abirdofprey-1,,WOT,38_abirdofprey,bäšä,bäšä,b ɛ ʃ ɛ,,wot,46,false,^ bäšä $,WOT,b ɛ ʃ ɛ,CVCV,True,1130
H-39_pechenegnameofatribe-1,,H,39_pechenegnameofatribe,besenyő,besenyő,b ɛ ʃ ɛ ɲ øː,,wot,47,true,^ besenyő $,H,b ɛ ʃ ɛ ɲ øː,CVCVCV,True,1130
OH-39_pechenegnameofatribe-1,,OH,39_pechenegnameofatribe,bešeneü̯,bešeneü̯,b ɛ ʃ ɛ n ɛ w,,wot,47,true,^ bešeneü̯ $,OH,b ɛ ʃ ɛ n ɛ w,CVCVCVC,True,1130
EAH-39_pechenegnameofatribe-1,,EAH,39_pechenegnameofatribe,bešeneγ,bešeneγ,b ɛ ʃ ɛ n ɛ ɣ,,wot,47,true,^ bešeneγ $,EAH,b ɛ ʃ ɛ n ɛ ɣ,CVCVCVC,True,1130
WOT-39_pechenegnameofatribe-1,,WOT,39_pechenegnameofatribe,bäčänäg,bäčänäg,b ɛ t͡ʃ ɛ n ɛ ɡ,,wot,47,false,^ bäčänäg $,WOT,b ɛ t͡ʃ ɛ n ɛ ɡ,CVCVCVC,True,1130
